"","landslide$state.province","n"
"1","",1
"2","Aguada",1
"3","Ahuachapán",2
"4","Alabama",9
"5","Alajuela",20
"6","Alta Verapaz",3
"7","Amapá",1
"8","Ancash",5
"9","Antioquia",19
"10","Aragua",1
"11","Arizona",16
"12","Arkansas",6
"13","Artemisa Province",1
"14","Artibonite",3
"15","Atlántico Norte",1
"16","Azuay",2
"17","Baja California",4
"18","Baja California Sur",1
"19","Baja Verapaz",1
"20","Bocas del Toro",7
"21","Bolívar",1
"22","Borough of Arima",1
"23","Boyacá",3
"24","Cabañas",1
"25","Caldas",10
"26","California",57
"27","Caquetá",2
"28","Carchi",2
"29","Cartago",6
"30","Cauca",5
"31","Cayo",1
"32","Centre",1
"33","Charlotte",4
"34","Chiapas",10
"35","Chihuahua",1
"36","Chimaltenango",4
"37","Chiquimula",1
"38","Chiriquí",9
"39","Choluteca",3
"40","Chontales",14
"41","City of Port of Spain",5
"42","City of San Fernando",2
"43","Clarendon",2
"44","Coclé",1
"45","Colima",1
"46","Colón",12
"47","Colorado",108
"48","Comayagua",4
"49","Connecticut",5
"50","Copán",5
"51","Córdoba",3
"52","Cortés",2
"53","Cotopaxi",1
"54","Couva-Tabaquite-Talparo",3
"55","Cundinamarca",7
"56","Dennery",1
"57","Diego Martin",16
"58","Distrito Federal",12
"59","Distrito Nacional",3
"60","Eastern Tobago",10
"61","El Paraíso",1
"62","Escuintla",3
"63","Esmeraldas",2
"64","Falcón",1
"65","Florida",2
"66","Francisco Morazán",15
"67","Georgia",11
"68","Guanacaste",5
"69","Guantanamo",1
"70","Guatemala",31
"71","Guayas",1
"72","Guerrero",8
"73","Hamilton city",2
"74","Hato Mayor",1
"75","Heredia",8
"76","Hidalgo",2
"77","Huanuco",4
"78","Huehuetenango",5
"79","Huila",6
"80","Idaho",37
"81","Illinois",9
"82","Indiana",5
"83","Iowa",11
"84","Izabal",2
"85","Jalisco",1
"86","Jinotega",3
"87","Jutiapa",1
"88","Kansas",2
"89","Kentucky",124
"90","La Libertad",7
"91","La Paz",2
"92","La Vega",2
"93","Laborie",1
"94","Limón",2
"95","Loja",4
"96","Los Santos",1
"97","Madriz",2
"98","Magdalena",3
"99","Maine",2
"100","Manabi",2
"101","Managua",3
"102","Maranhão",1
"103","Maryland",8
"104","Masaya",2
"105","Massachusetts",10
"106","Meta",1
"107","México",4
"108","Michigan",1
"109","Michoacán",4
"110","Minnesota",23
"111","Miranda",4
"112","Mississippi",2
"113","Missouri",9
"114","Montana",1
"115","Morona-Santiago",1
"116","Napo",1
"117","Nariño",5
"118","Nayarit",2
"119","Nevada",7
"120","New Hampshire",7
"121","New Jersey",11
"122","New Mexico",11
"123","New York",31
"124","Nord",4
"125","Norte de Santander",5
"126","North Carolina",52
"127","Nova Scotia",1
"128","Nuevo León",1
"129","Oaxaca",9
"130","Ocotepeque",2
"131","Ogun State",3
"132","Ohio",61
"133","Oklahoma",4
"134","Ontario",6
"135","Oregon",1
"136","Orocovis",1
"137","Ouest",10
"138","Panamá",11
"139","Pará",2
"140","Penal/Debe",2
"141","Pennsylvania",97
"142","Pichincha",9
"143","Point Fortin",1
"144","Ponce",2
"145","Portland",12
"146","Praslin",1
"147","Princes Town",1
"148","Provincia de La Habana",1
"149","Puebla",4
"150","Puerto Plata",3
"151","Puntarenas",9
"152","Putumayo",1
"153","Quebec",3
"154","Quetzaltenango",3
"155","Quiché",7
"156","Quindío",1
"157","Río San Juan",1
"158","Risaralda",4
"159","Rivas",2
"160","Sacatepéquez",3
"161","Saint Andrew",6
"162","Saint Ann",3
"163","Saint Catherine",3
"164","Saint Croix Island",1
"165","Saint George",1
"166","Saint John",2
"167","Saint John Island",1
"168","Saint Joseph",2
"169","Saint Mark",2
"170","Saint Mary",3
"171","Saint Patrick",4
"172","Saint Paul",5
"173","Saint Thomas",4
"174","San Cristóbal",1
"175","San José",25
"176","San Juan",1
"177","San Juan/Laventille",2
"178","San Marcos",2
"179","San Martín",3
"180","San Miguel",3
"181","San Salvador",2
"182","San Vicente",3
"183","Sangre Grande",7
"184","Santa Ana",2
"185","Santa Bárbara",2
"186","Santa Rosa",1
"187","Santander",11
"188","Santiago",4
"189","Santo Domingo",1
"190","Santo Domingo de los Tsáchilas",1
"191","Sinaloa",1
"192","Siparia",1
"193","Sololá",9
"194","Sonsonate",3
"195","Soufrière",4
"196","South Carolina",2
"197","South Dakota",2
"198","St. Elizabeth",1
"199","Suchitepeque",1
"200","Sucre",1
"201","Sucumbios",1
"202","Sud-Est",2
"203","Tabasco",6
"204","Tennessee",39
"205","Texas",4
"206","The Federal District",3
"207","Tobago",7
"208","Tolima",4
"209","Totonicapán",1
"210","Tunapuna/Piarco",4
"211","Tungurahua",1
"212","Utah",65
"213","Valle del Cauca",4
"214","Vargas",2
"215","Vega Alta",1
"216","Veracruz",2
"217","Veracruz-Llave",9
"218","Vermont",7
"219","Vieux-Fort",1
"220","Villalba",1
"221","Virginia",16
"222","West Virginia",80
"223","Wisconsin",13
"224","Wyoming",17
"225","Yoro",2
"226","Zacapa",1
"227","Zamora-Chinchipe",2
