type,trigger,count
Complex,Continuous rain,1
Complex,Downpour,15
Complex,Freeze thaw,1
Complex,Rain,4
Creep,Continuous rain,1
Creep,Downpour,3
Creep,Snowfall snowmelt,1
Debris flow,Downpour,26
Debris flow,Rain,9
Lahar,Dam embankment collapse,1
Landslide,Construction,2
Landslide,Continuous rain,29
Landslide,Downpour,179
Landslide,Flooding,4
Landslide,Mining digging,3
Landslide,Other,1
Landslide,Rain,112
Landslide,Snowfall snowmelt,1
Landslide,Tropical cyclone,6
Landslide,Unknown,38
Mudslide,Continuous rain,25
Mudslide,Downpour,290
Mudslide,Flooding,2
Mudslide,Freeze thaw,1
Mudslide,Rain,140
Mudslide,Snowfall snowmelt,8
Mudslide,Tropical cyclone,5
Mudslide,Unknown,17
Other,Continuous rain,1
Other,Rain,4
Other,Unknown,1
Riverbank collapse,Unknown,1
Rockfall,Continuous rain,1
Rockfall,Downpour,18
Rockfall,Flooding,3
Rockfall,Rain,11
Rockfall,Snowfall snowmelt,1
Rockfall,Unknown,14
Rockslide,Unknown,1
Snow avalanche,Other,1
Snow avalanche,Unknown,1
